IdFuncionario,NomeCompleto,DataNascimento,CPF,Sexo,SalarioBruto,Cargo,idSetor,Setor,Ramal
52,Sophia Gonçalves,1997-06-08,056.781.447-58,Feminino,2777.29,Facilitador de Agricultura,52,Markting,1052
53,Larissa Vidal,2005-11-18,277.841.673-00,Feminino,5887.11,Analista de Imobiliária,53,Markting,1053
54,Arthur Henrique Carreira,2005-07-16,162.840.416-75,Masculino,1428.79,Contato de TI,54,Markting,1054
55,Carla Caseira,2000-09-30,175.028.467-78,Feminino,2189.15,Representante de Bancário,55,TI,1055
56,Vinícius Negrão,1975-07-05,084.750.664-96,Masculino,12575.71,Gerente de Bancário,56,Financeiro,1056
57,Ana Cecília da Barra,2001-01-03,676.442.600-72,Feminino,5875.89,Desenvolvedor de Vendas,57,RH,1057
58,Vitória Louzada,1991-12-20,344.775.522-97,Feminino,4641.88,Fabricante de Imobiliária,58,Vendas,1058
59,Pedro Miguel Novaes,1987-02-20,364.046.775-20,Masculino,1864.02,Planejador de Governamental,59,Financeiro,1059
60,João Ouriques,2003-07-23,204.864.607-70,Masculino,4179.69,Técnico de TI,60,Vendas,1060
61,Fernanda Silveira,1971-10-03,623.608.788-16,Feminino,5598.22,Designer de Consultoria,61,Vendas,1061
62,Igor Domingues,1982-11-01,362.671.064-54,Masculino,3821.10,Coordenador de Varejo,62,Vendas,1062
63,Pablo Barroso,1979-10-27,810.806.838-01,Masculino,4235.92,Orquestrador de Construção,63,TI,1063
64,Emanuel Raia,1976-08-11,407.857.357-63,Masculino,4357.78,Agente de Serviços Comunitários,64,RH,1064
65,Marcela Hermingues,2006-10-23,004.358.736-44,Feminino,4993.53,Orquestrador de Propaganda,65,RH,1065
66,Benjamin Custódio,1987-12-13,487.704.605-40,Masculino,25060.21,Diretor de Vendas,66,RH,1066
67,Ana Lívia Conceição,1992-07-15,564.672.217-96,Feminino,5025.52,Analista de Educação,67,Markting,1067
68,Luiz Otávio da Fronteira,1995-04-12,170.865.231-00,Masculino,4999.41,Estrategista de TI,68,Markting,1068
69,Roberto Bittencourt,2005-12-26,510.631.325-25,Masculino,3433.17,Contato de TI,69,TI,1069
70,Maria Eduarda Fontes,1982-12-06,867.870.175-70,Feminino,4298.15,Designer de Hospitalidade,70,Vendas,1070
71,José Peixoto,1993-06-23,351.206.381-04,Masculino,3104.72,Analista de Contabilidade,71,TI,1071
72,Luan Sanches,1982-11-19,564.168.425-21,Masculino,4318.12,Administrador de Bancário,72,RH,1072
73,Félix Negrão,1965-07-09,420.763.378-22,Masculino,5214.43,Técnico de Construção,73,Markting,1073
74,Hélio Gentil,2004-02-03,845.531.840-60,Masculino,3531.66,Designer de TI,74,Markting,1074
75,Helena Filgueira,1992-11-15,344.700.325-14,Feminino,3528.83,Assistente de Serviços Comunitários,75,Financeiro,1075
76,Luiz Henrique Muniz,1982-09-19,764.777.800-54,Masculino,3015.40,Fabricante de Marketing,76,Financeiro,1076
77,Vitor Hugo Marins,1965-08-04,175.221.018-24,Masculino,2699.71,Assistente de Contabilidade,77,TI,1077
78,Vitor Bulhões,1983-11-01,242.414.252-16,Masculino,5838.32,Facilitador de Hospitalidade,78,Financeiro,1078
79,Mariana Teixeira,1963-08-15,101.308.664-31,Feminino,3186.37,Contato de Educação,79,Financeiro,1079
80,Theo Vasques,2006-04-17,262.021.804-71,Masculino,2007.53,Executivo de Contabilidade,80,Financeiro,1080
81,Antonella Goulart,1972-12-07,002.202.568-53,Feminino,4092.55,Planejador de TI,81,Financeiro,1081
82,Fabiano Simões,1996-02-23,686.051.338-13,Masculino,1889.03,Estrategista de TI,82,TI,1082
83,Suélen Ribas,1985-02-21,178.562.661-20,Feminino,3485.06,Administrador de Mineração,83,Financeiro,1083
84,Vitor Hugo Muniz,1974-05-05,704.757.668-14,Masculino,5391.89,Facilitador de Imobiliária,84,TI,1084
85,Meire Goulart,1970-08-25,701.741.585-05,Feminino,5653.55,Orquestrador de Saúde,85,Financeiro,1085
86,Allana Henriques,1999-03-22,638.583.670-36,Feminino,1424.92,Especialista de Saúde,86,Markting,1086
87,Igor Ramalho,1976-08-03,043.625.107-88,Masculino,5887.47,Contato de Hospitalidade,87,Financeiro,1087
88,Larissa Cavalcanti,1975-12-10,425.807.355-50,Feminino,37157.78,Diretor de Marketing,88,TI,1088
89,Danilo Fontes,1972-02-14,078.004.204-26,Masculino,5175.39,Planejador de Hospitalidade,89,Markting,1089
90,Leonardo de Quadros,2004-03-15,322.442.775-26,Masculino,2535.97,Arquiteto de Saúde,90,Vendas,1090
91,Nataniel da Costa,1994-10-30,837.088.233-11,Masculino,5270.75,Associado de Serviços Comunitários,91,Markting,1091
92,Ana Bonfim,1992-03-06,248.228.512-73,Feminino,4028.95,Orquestrador de Consultoria,92,Markting,1092
93,Luiz Henrique Rios,1968-12-12,571.668.113-15,Masculino,2782.49,Supervisor de Marketing,93,Vendas,1093
94,Kléber Peres,1978-08-21,288.780.733-18,Masculino,3884.81,Analista de Construção,94,TI,1094
95,Noah Esteves,2001-06-21,146.465.811-08,Masculino,1842.86,Analista de Design,95,Markting,1095
96,Olívia Caldeira,1986-09-04,024.222.741-45,Feminino,25885.13,Diretor de Consultoria,96,RH,1096
97,Bruna Rebouças,1988-01-07,546.656.320-06,Feminino,1663.94,Especialista de Legal,97,TI,1097
98,Enrico Rios,1968-09-18,252.638.605-52,Masculino,3379.22,Contato de Mineração,98,TI,1098
99,Milena Solimões,1998-08-09,222.233.753-40,Feminino,27491.04,Gerente de Propaganda,99,Markting,1099
100,Ígor Brum,2006-03-15,321.858.235-07,Masculino,3900.68,Orquestrador de Marketing,100,RH,1100
101,Pablo Leiria,1986-01-11,001.188.611-07,Masculino,1720.52,Designer de Saúde,101,RH,1101
102,Mariah Moraes,1982-09-06,032.325.653-87,Feminino,5293.64,Designer de Tecnologia,102,TI,1102
103,Pietro Corte,1973-01-30,044.366.205-30,Masculino,4694.81,Oficial de Bancário,103,RH,1103
104,Emilly Alves,1996-02-12,641.086.122-21,Feminino,4016.08,Associado de Industrial,104,Financeiro,1104
105,Pérola Assumpção,1966-11-16,740.445.054-38,Feminino,3682.63,Administrador de Legal,105,Financeiro,1105
106,Bruna Bentes,1991-05-25,008.626.425-74,Feminino,1432.94,Designer de TI,106,Markting,1106
107,Luan Nascimento,1971-10-29,613.601.086-02,Masculino,4221.51,Fabricante de Hospitalidade,107,Markting,1107
108,Rafaela Simões,1996-12-24,711.825.557-21,Feminino,5645.68,Técnico de Saúde,108,Markting,1108
109,Ana Sophia Munhoz,1998-08-14,347.650.521-92,Feminino,39940.71,Diretor de Consultoria,109,TI,1109
110,Amanda Rodrigues,1973-05-06,720.818.214-00,Feminino,4594.76,Consultor de Construção,110,TI,1110
111,Maria Clara Palhares,1974-04-22,850.100.561-43,Feminino,3064.24,Estrategista de Varejo,111,Vendas,1111
112,Suélen Caseira,1964-02-03,117.238.747-87,Feminino,1898.03,Executivo de Bancário,112,RH,1112
113,Larissa Passarinho,1964-08-04,562.642.871-21,Feminino,3392.80,Desenvolvedor de Agricultura,113,Markting,1113
114,Pablo da Fronteira,2004-03-23,244.026.260-99,Masculino,5227.57,Orquestrador de Varejo,114,TI,1114
115,Giovanna Corrêa,2001-03-07,051.314.511-75,Feminino,5449.12,Coordenador de Saúde,115,Vendas,1115
116,Rodrigo Neves,1971-09-26,535.674.556-72,Masculino,5318.47,Analista de Mineração,116,TI,1116
117,Maria Datena,1964-07-28,781.605.071-27,Feminino,5615.35,Especialista de Propaganda,117,Vendas,1117
118,Maria Cecília Camacho,1974-06-15,656.527.516-57,Feminino,2512.95,Facilitador de Legal,118,Markting,1118
119,Rebeca Bomdia,1962-05-05,241.630.475-57,Feminino,5542.67,Facilitador de Varejo,119,Vendas,1119
120,Miguel Barros,1975-08-07,362.655.302-75,Masculino,5697.69,Consultor de Governamental,120,TI,1120
121,Frederico Jesus,1993-11-05,470.008.647-53,Masculino,2804.27,Facilitador de Hospitalidade,121,Financeiro,1121
122,Milena Coutinho,2008-02-16,806.503.202-80,Feminino,24999.79,Gerente de Legal,122,Financeiro,1122
123,Roberta Simão,1987-07-25,405.526.750-91,Feminino,3539.87,Estrategista de Serviços Comunitários,123,RH,1123
124,Isaac Sá,1981-12-22,565.071.055-46,Masculino,14255.35,Gerente de Administração,124,Financeiro,1124
125,Feliciano Lima,1988-05-27,340.567.732-70,Masculino,4791.74,Coordenador de Serviços Comunitários,125,RH,1125
126,João Pedro Macieira,1968-09-02,210.275.628-92,Masculino,5666.01,Especialista de TI,126,TI,1126
127,Heitor Macedo,1982-07-09,227.887.156-09,Masculino,5401.79,Técnico de Mineração,127,RH,1127
128,Ana Clara Ouriques,1973-08-17,556.362.546-01,Feminino,4678.60,Assistente de Design,128,TI,1128
129,Ana Cecília do Prado,1984-09-11,332.570.557-06,Feminino,3824.21,Arquiteto de Propaganda,129,Vendas,1129
130,Luiza Caseira,1966-08-07,302.443.346-50,Feminino,4507.90,Executivo de Consultoria,130,Vendas,1130
131,Enzo Miguel da Penha,2003-02-12,452.624.882-77,Masculino,2265.17,Planejador de Contabilidade,131,TI,1131
132,Enzo Gabriel Coqueiro,1973-07-06,287.207.616-60,Masculino,4678.65,Arquiteto de Legal,132,Vendas,1132
133,Camila Fontinhas,1978-12-07,321.075.266-48,Feminino,2846.77,Planejador de Contabilidade,133,RH,1133
134,João Vitor Mendanha,1990-01-05,033.051.144-01,Masculino,5556.69,Executivo de Construção,134,Markting,1134
135,Antonella Viveiros,1971-05-29,141.487.814-15,Feminino,2292.67,Estrategista de Hospitalidade,135,TI,1135
136,Giulia Conceição,1996-06-06,516.785.282-00,Feminino,3699.64,Administrador de Educação,136,Markting,1136
137,Elisa Figueira,1977-10-06,772.358.804-65,Feminino,3748.83,Administrador de Industrial,137,Vendas,1137
138,Roberto Farias,1982-01-11,415.068.773-03,Masculino,4356.73,Oficial de Agricultura,138,Vendas,1138
139,Henry Vasques,1975-09-09,302.321.762-99,Masculino,1452.46,Contato de Imobiliária,139,TI,1139
140,Nicole Silveira,1978-11-14,158.555.550-97,Feminino,2663.21,Representante de Agricultura,140,TI,1140
141,Isabel da Penha,1991-08-22,528.227.451-53,Feminino,4212.19,Fabricante de Mineração,141,Vendas,1141
142,Fabrício Souza,2006-05-20,438.712.274-98,Masculino,5227.74,Executivo de Hospitalidade,142,Vendas,1142
143,Lívia Regueira,1966-01-08,311.338.755-80,Feminino,3405.77,Supervisor de Vendas,143,Vendas,1143
144,Sophia Costa,1966-12-05,567.654.583-60,Feminino,5369.99,Designer de Serviços Comunitários,144,TI,1144
145,Paulo Guterres,2007-10-09,527.328.362-06,Masculino,2870.04,Estrategista de Mineração,145,Financeiro,1145
146,Emilly Barbosa,1964-01-03,262.154.515-76,Feminino,13935.88,Gerente de Imobiliária,146,TI,1146
147,Maria Flor Duarte,1984-04-30,356.167.032-65,Feminino,4216.66,Fabricante de Industrial,147,Vendas,1147
148,João Felipe da Conceição,1988-10-24,424.143.481-94,Masculino,5385.99,Administrador de Construção,148,RH,1148
149,Manuela Pinheira,2001-08-04,367.814.035-16,Feminino,5704.02,Representante de Mineração,149,Vendas,1149
150,Gabrielly Costa,1961-05-29,687.281.750-00,Feminino,5532.52,Especialista de Administração,150,RH,1150
151,Breno da Veiga,2007-04-18,652.278.563-38,Masculino,5293.98,Contato de Governamental,151,Vendas,1151
152,Célia Bernardes,1997-08-07,834.435.552-41,Feminino,5930.99,Técnico de Educação,152,Markting,1152
153,Natália Pires,1983-08-13,587.385.013-50,Feminino,2475.87,Fabricante de Legal,153,Financeiro,1153
154,Ana Laura Siqueiro,1996-06-20,571.210.412-19,Feminino,4638.35,Facilitador de Governamental,154,TI,1154
155,Henry da Cruz,1994-02-16,530.844.324-65,Masculino,25581.44,Gerente de Industrial,155,Vendas,1155
156,Pedro Henrique Rios,1982-08-27,626.412.888-00,Masculino,5020.90,Planejador de Agricultura,156,Financeiro,1156
157,Carlos Eduardo Madeira,1980-01-15,267.808.426-48,Masculino,24661.17,Diretor de Varejo,157,RH,1157
158,Levi Ramalho,1999-01-30,541.380.435-00,Masculino,3869.72,Planejador de Construção,158,TI,1158
159,Noah Amoreira,2002-09-27,333.145.683-71,Masculino,4037.84,Executivo de Saúde,159,RH,1159
160,Tomás Junqueira,1981-08-08,350.721.643-49,Masculino,2184.77,Desenvolvedor de Design,160,Financeiro,1160
161,Arthur Geraldes,1983-12-19,846.721.820-70,Masculino,4431.76,Técnico de Design,161,TI,1161
162,Thomas Matoso,2003-08-19,475.680.751-84,Masculino,5608.60,Executivo de Saúde,162,Markting,1162
163,José Fontinhas,1969-02-23,117.357.633-90,Masculino,3515.63,Agente de Mineração,163,RH,1163
164,Liz Ouriques,1967-06-12,482.187.737-62,Feminino,5057.00,Representante de Tecnologia,164,RH,1164
165,João Miguel da Fonseca,1979-02-24,747.804.148-57,Masculino,3413.93,Coordenador de Contabilidade,165,Financeiro,1165
166,Davi Miguel da Gama,2004-05-27,415.888.273-72,Masculino,3401.63,Associado de Contabilidade,166,Financeiro,1166
167,Deneval Rêgo,1983-12-18,182.223.634-76,Masculino,2842.84,Orquestrador de Bancário,167,Financeiro,1167
168,Ofélia Santos,1995-09-21,111.278.423-31,Feminino,2571.11,Representante de TI,168,TI,1168
169,Vitor Hugo Sais,1963-09-09,273.127.710-68,Masculino,5908.24,Desenvolvedor de Hospitalidade,169,Financeiro,1169
170,Lara Ordonhes,1971-10-29,610.826.844-14,Feminino,6250.76,Assistente de Serviços Comunitários,170,Vendas,1170
171,João Felipe Nascimento,1968-04-22,026.657.276-68,Masculino,10686.77,Gerente de Serviços Comunitários,171,TI,1171
172,Milena Conceição,2002-04-10,606.024.288-07,Feminino,3644.80,Arquiteto de Imobiliária,172,Vendas,1172
173,Ana Luiza Ribeiro,1967-06-17,417.255.405-92,Feminino,5840.17,Oficial de Varejo,173,Financeiro,1173
174,Maitê Coqueiro,1977-02-21,813.661.743-05,Feminino,6896.56,Assistente de Varejo,174,Markting,1174
175,Agatha Sá,1984-10-06,486.046.076-68,Feminino,4436.20,Estrategista de Serviços Comunitários,175,Markting,1175
176,Márcia Quarteira,1978-11-04,500.458.316-10,Feminino,5226.93,Planejador de Marketing,176,TI,1176
177,Natália Caldas,1971-04-08,125.747.051-57,Feminino,4855.71,Designer de Administração,177,TI,1177
178,Enzo Gabriel Monteiro,2005-08-17,481.258.138-96,Masculino,2481.14,Coordenador de Hospitalidade,178,Financeiro,1178
179,Lucas Rolim,1970-12-30,443.218.686-02,Masculino,5705.42,Executivo de Varejo,179,Vendas,1179
180,Tiago Carneiro,1981-06-15,860.357.467-72,Masculino,2556.25,Orquestrador de Saúde,180,Vendas,1180
181,Milena da Veiga,1977-05-15,533.634.165-71,Feminino,3175.49,Técnico de Bancário,181,Vendas,1181
182,Maria Valentina Castanheira,1961-03-25,882.527.318-56,Feminino,4661.81,Analista de Hospitalidade,182,Markting,1182
183,Beatriz Solimões,1982-06-19,068.812.427-51,Feminino,2336.23,Associado de Marketing,183,RH,1183
184,Giovanna Dantas,1987-04-11,152.261.268-83,Feminino,9833.16,Diretor de Propaganda,184,TI,1184
185,Vinicius da Rocha,1995-09-21,183.582.161-81,Masculino,2347.68,Especialista de Bancário,185,Vendas,1185
186,Letícia da Veiga,1963-03-08,632.572.503-47,Feminino,1857.72,Planejador de Saúde,186,Markting,1186
187,Luiz Otávio Peres,1996-08-28,720.726.582-41,Masculino,5542.22,Oficial de Marketing,187,TI,1187
188,Dalila Pereira,1986-12-04,273.437.101-41,Feminino,2750.41,Supervisor de Saúde,188,Vendas,1188
189,Pietra Cabreira,1992-11-05,607.501.414-41,Feminino,5742.12,Executivo de Governamental,189,Vendas,1189
190,Miguel Crespo,1977-09-11,202.487.058-90,Masculino,22440.23,Diretor de Bancário,190,RH,1190
191,Maria Clara da Mata,1979-06-15,243.314.480-96,Feminino,2183.00,Fabricante de Marketing,191,RH,1191
192,Pedro Henrique Palhares,1977-01-22,778.107.340-16,Masculino,3630.90,Engenheiro de Saúde,192,TI,1192
193,Isis Ribeira,1998-01-13,678.712.462-75,Feminino,4565.51,Agente de Agricultura,193,Financeiro,1193
194,Rafael Roseira,2001-09-16,454.611.442-76,Masculino,3404.35,Associado de Educação,194,Financeiro,1194
195,Oliver Pereira,1997-01-26,621.062.183-03,Masculino,2483.58,Administrador de Contabilidade,195,RH,1195
196,Pietro Fontinhas,1985-10-23,840.810.321-06,Masculino,3469.25,Desenvolvedor de Vendas,196,Markting,1196
197,Ana Júlia Antena,1988-10-07,281.456.858-26,Feminino,5052.97,Representante de Industrial,197,Vendas,1197
198,Noah Tavares,2005-11-14,856.734.101-90,Masculino,30865.52,Diretor de Construção,198,Financeiro,1198
199,Arthur Miguel da Costa,2005-05-06,285.052.870-61,Masculino,9779.53,Assistente de Marketing,199,Vendas,1199
200,Heitor de Assunção,2004-09-21,275.381.024-93,Masculino,8974.96,Assistente de Design,200,RH,1200
201,Joana da Maia,1969-02-22,420.811.267-02,Feminino,5013.59,Coordenador de Bancário,201,Markting,1201
202,Lucas Gabriel Amoreira,1988-07-15,612.150.455-22,Masculino,2590.86,Especialista de Vendas,202,Financeiro,1202
203,Elisa Hermingues,1973-06-14,300.712.776-92,Feminino,22861.05,Diretor de Contabilidade,203,TI,1203
204,João Pedro Passarinho,2000-05-05,322.164.315-24,Masculino,2863.77,Administrador de Construção,204,Vendas,1204
205,Giovanna Domingues,1995-06-08,506.034.612-98,Feminino,8394.84,Assistente de Propaganda,205,Financeiro,1205
206,Ana Júlia Corte,1964-10-14,350.377.227-80,Feminino,5804.53,Coordenador de Industrial,206,Vendas,1206
207,Alessandra Saraiva,1981-01-10,033.564.508-91,Feminino,5883.04,Consultor de Varejo,207,RH,1207
208,Antonia Martins,1978-01-24,304.176.563-27,Feminino,2594.72,Planejador de Industrial,208,TI,1208
209,Aline Rios,1967-06-29,642.076.308-80,Feminino,3067.47,Contato de Consultoria,209,Financeiro,1209
210,Roberto Ribeiro,2004-05-29,483.208.618-96,Masculino,1760.41,Supervisor de Bancário,210,RH,1210
211,Emanuelly Veles,1971-11-01,310.450.616-70,Feminino,2442.15,Agente de Vendas,211,RH,1211
212,Vitória Albuquerque,2001-09-08,628.071.075-08,Feminino,4267.43,Analista de Mineração,212,Vendas,1212
213,Joana Teixeira,1995-03-25,172.384.360-19,Feminino,5685.56,Contato de Marketing,213,Markting,1213
214,Víctor Aguiar,2003-02-21,505.568.703-79,Masculino,5531.20,Planejador de Imobiliária,214,Vendas,1214
215,Ana Sophia Rezende,1967-10-24,115.142.048-43,Feminino,32378.06,Gerente de Marketing,215,Markting,1215
216,Ana Cecília Taveira,2007-11-24,724.421.456-18,Feminino,2599.90,Especialista de Marketing,216,RH,1216
217,João Guilherme Dorneles,1983-12-05,200.184.120-50,Masculino,1897.24,Técnico de Marketing,217,Markting,1217
218,Elisa Ribeira,1974-10-24,620.025.442-71,Feminino,15280.71,Gerente de Educação,218,Markting,1218
219,Enrico Bouças,1978-02-04,756.242.314-82,Masculino,5491.91,Administrador de Industrial,219,Financeiro,1219
220,Lívia Arriaga,1974-12-04,117.200.663-61,Feminino,2070.58,Técnico de Serviços Comunitários,220,Markting,1220
221,Isabella Bomdia,1970-10-29,705.405.062-22,Feminino,3317.53,Estrategista de Administração,221,Markting,1221
222,João Lucas Dantas,1981-06-19,518.707.240-46,Masculino,4934.38,Executivo de Bancário,222,TI,1222
223,Marli Farias,1981-10-31,664.618.337-65,Feminino,5032.42,Desenvolvedor de TI,223,Vendas,1223
224,João Vitor Jaques,1980-03-13,150.223.578-10,Masculino,5879.39,Orquestrador de Design,224,TI,1224
225,Arthur Henrique Fogaça,1984-05-13,044.117.612-70,Masculino,5363.96,Representante de Tecnologia,225,Financeiro,1225
226,Rebeca Munhoz,1986-02-17,422.254.753-00,Feminino,3189.81,Supervisor de Bancário,226,Markting,1226
227,Matheus Lima,1963-01-22,228.541.402-14,Masculino,4596.42,Agente de Administração,227,Financeiro,1227
228,Letícia da Fronteira,1978-03-28,781.086.431-98,Feminino,5526.31,Coordenador de Industrial,228,RH,1228
229,Tertuliano Chaves,1984-12-17,838.512.801-80,Masculino,2459.62,Estrategista de Industrial,229,Markting,1229
230,Maria Júlia Modesto,1973-09-06,208.472.654-98,Feminino,2026.34,Arquiteto de Construção,230,Vendas,1230
231,Fábio Palhares,1983-01-26,855.618.388-30,Masculino,5057.38,Administrador de Vendas,231,Financeiro,1231
232,Karla Silva,1964-12-11,354.053.363-00,Feminino,5796.19,Representante de Propaganda,232,Markting,1232
233,Ana Sophia Pinto,1989-04-21,514.687.305-41,Feminino,3983.85,Supervisor de Industrial,233,Vendas,1233
234,Lavínia Mendes,2005-06-24,226.702.705-49,Feminino,1545.43,Executivo de Agricultura,234,RH,1234
235,Nicole Goulart,1975-07-09,516.143.685-97,Feminino,25320.75,Diretor de Hospitalidade,235,Vendas,1235
236,Yuri Banheira,1987-04-18,664.463.706-01,Masculino,5090.13,Técnico de Agricultura,236,RH,1236
237,Matheus Gonçalves,1992-05-10,052.048.171-23,Masculino,2670.57,Executivo de Mineração,237,RH,1237
238,Bruna Solimões,1980-01-30,632.468.835-64,Feminino,4147.12,Planejador de Hospitalidade,238,Markting,1238
239,Carlos Eduardo Porto,1974-05-27,676.846.666-65,Masculino,36319.87,Diretor de Legal,239,TI,1239
240,Kléber Madeira,1966-08-21,050.537.761-64,Masculino,6661.13,Assistente de Bancário,240,Vendas,1240
241,Sophie Siqueiro,1976-07-24,437.128.108-73,Feminino,2151.13,Fabricante de Consultoria,241,Markting,1241
242,Maria Sophia de Quadros,1990-01-03,785.333.848-15,Feminino,4787.02,Executivo de Industrial,242,Markting,1242
243,Ana Júlia Freitas,1979-11-17,803.543.802-65,Feminino,3098.29,Coordenador de Tecnologia,243,Financeiro,1243
244,Luiz Otávio Palhares,1999-10-04,016.626.666-32,Masculino,3916.30,Coordenador de Educação,244,RH,1244
